"Date","Open","High","Low","Close","Volume"
"2010-07-19","975","980","960","975","80800000"
"2010-07-20","975","985","975","975","43970000"
"2010-07-21","995","1000","980","995","82730000"
"2010-07-22","985","995","980","985","108630000"
"2010-07-23","995","1005","990","995","72870000"
"2010-07-26","995","1010","990","995","56800000"
"2010-07-27","1000","1015","990","1000","113285000"
"2010-07-28","990","1015","990","990","132245000"
"2010-07-29","1005","1015","995","1005","71425000"
"2010-07-30","990","1005","955","990","97330000"
"2010-08-02","945","985","935","945","286620000"
"2010-08-03","905","955","900","905","398615000"
"2010-08-04","920","930","880","920","309070000"
"2010-08-05","945","945","925","945","255410000"
"2010-08-06","940","950","930","940","121235000"
"2010-08-09","955","955","940","955","121775000"
"2010-08-10","955","960","950","955","84985000"
"2010-08-11","940","960","935","940","57870000"
"2010-08-12","930","935","920","930","155580000"
"2010-08-13","935","935","925","935","90270000"
"2010-08-16","920","935","910","920","136425000"
"2010-08-18","925","930","910","925","109215000"
"2010-08-19","970","975","930","970","231320000"
"2010-08-20","960","965","950","960","44710000"
"2010-08-23","955","955","940","955","19230000"
"2010-08-24","980","985","955","980","189530000"
"2010-08-25","980","985","960","980","72195000"
"2010-08-26","970","985","950","970","96410000"
"2010-08-27","945","965","935","945","165750000"
"2010-08-30","945","965","940","945","119230000"
"2010-08-31","930","950","925","930","108730000"
"2010-09-01","960","960","935","960","150370000"
"2010-09-02","950","975","940","950","145505000"
"2010-09-03","950","965","945","950","106645000"
"2010-09-06","955","955","945","955","164670000"
"2010-09-07","955","955","950","955","76005000"
"2010-09-15","970","1025","970","1010","468005000"
"2010-09-16","1070","1070","1000","1070","181470000"
"2010-09-17","1040","1080","1040","1040","122870000"
"2010-09-20","1020","1040","1010","1020","73815000"
"2010-09-21","995","1030","990","995","290010000"
"2010-09-22","995","1005","990","995","161795000"
"2010-09-23","995","1005","985","995","109755000"
"2010-09-24","1000","1005","990","1000","206470000"
"2010-09-27","1015","1025","1005","1015","219675000"
"2010-09-28","1000","1025","995","1000","201885000"
"2010-09-29","1000","1015","990","1000","181770000"
"2010-09-30","1000","1005","985","1000","189855000"
"2010-10-01","1005","1010","985","1005","159515000"
"2010-10-04","1035","1045","1015","1035","349385000"
"2010-10-05","1060","1060","1030","1060","180595000"
"2010-10-06","1060","1080","1050","1060","123320000"
"2010-10-07","1070","1075","1030","1070","92350000"
"2010-10-08","1050","1070","1035","1050","69050000"
"2010-10-11","1080","1080","1060","1080","117380000"
"2010-10-12","1080","1095","1070","1080","92560000"
"2010-10-13","1100","1120","1080","1100","151915000"
"2010-10-14","1075","1125","1070","1075","90770000"
"2010-10-15","1050","1065","1045","1050","92620000"
"2010-10-18","1045","1065","1045","1045","49615000"
"2010-10-19","1060","1070","1045","1060","68935000"
"2010-10-20","1040","1050","1030","1040","122165000"
"2010-10-21","1070","1085","1040","1070","111950000"
"2010-10-22","1085","1085","1065","1085","63340000"
"2010-10-25","1180","1180","1090","1180","175925000"
"2010-10-26","1150","1185","1125","1150","143785000"
"2010-10-27","1145","1170","1125","1145","67285000"
"2010-10-28","1130","1145","1120","1130","72140000"
"2010-10-29","1140","1190","1130","1140","96965000"
"2010-11-01","1210","1230","1140","1210","208830000"
"2010-11-02","1210","1220","1195","1210","98985000"
"2010-11-03","1220","1225","1205","1220","87550000"
"2010-11-04","1195","1225","1195","1195","117040000"
"2010-11-05","1210","1225","1195","1210","53450000"
"2010-11-08","1205","1220","1205","1205","77190000"
"2010-11-09","1245","1265","1215","1245","125180000"
"2010-11-10","1250","1260","1240","1250","70205000"
"2010-11-11","1250","1280","1205","1250","69985000"
"2010-11-12","1200","1245","1190","1200","128450000"
"2010-11-15","1175","1200","1135","1175","79735000"
"2010-11-16","1185","1215","1165","1185","94695000"
"2010-11-18","1210","1215","1165","1210","102030000"
